Job Title,Company Name,Location,jobPostRedirectUrl,skills List
Data Scientist,Tata Consultancy Services,"Redmond, WA (On-site)",https://www.linkedin.com//jobs/view/3767424953/?eBP=NOT_ELIGIBLE_FOR_CHARGING&refId=kRHKbBsCHLIZ25uJJs4OKw%3D%3D&trackingId=yrN5uQ9J%2FhkagN%2Fo9ykPQA%3D%3D&trk=flagship3_search_srp_jobs,"['', 'DataAnalytics', 'DataScience', 'SQL', 'AnalyticalSkills', 'Analytics', 'Communication', 'DataAnalysis', 'DataModeling', 'Optimization', 'Presentations', '']"
Junior Data Scientist (Remote),SynergisticIT,"Seattle, WA (Remote)",https://www.linkedin.com//jobs/view/3767595213/?eBP=NOT_ELIGIBLE_FOR_CHARGING&refId=kRHKbBsCHLIZ25uJJs4OKw%3D%3D&trackingId=9CanXwqI%2FTZ3VzcZzhhk3A%3D%3D&trk=flagship3_search_srp_jobs,"['', 'CoreJava', 'DataAnalytics', 'DataScience', 'DataVisualization', 'Java', 'Programming', 'ProgrammingLanguages', 'SoftwareDevelopment', 'SoftwareDevelopmentLifeCycle(SDLC)', 'OralCommunication', '']"
Entry Level/ Junior Level Data Scientist (Remote),SynergisticIT,"Los Angeles, CA (Remote)",https://www.linkedin.com//jobs/view/3767588950/?eBP=NOT_ELIGIBLE_FOR_CHARGING&refId=kRHKbBsCHLIZ25uJJs4OKw%3D%3D&trackingId=135cl4dItqpUeusgSAGlMw%3D%3D&trk=flagship3_search_srp_jobs,"['', 'ComputerScience', 'CoreJava', 'DataAnalytics', 'DataMining', 'DataScience', 'DataVisualization', 'Java', 'Programming', 'ProgrammingLanguages', 'Cracking', '']"
Data Scientist,Hang,"Los Angeles, CA (Remote)",https://www.linkedin.com//jobs/view/3765586602/?eBP=NOT_ELIGIBLE_FOR_CHARGING&refId=kRHKbBsCHLIZ25uJJs4OKw%3D%3D&trackingId=9EB8ULBGbYgOXm4y%2Fc%2FzEA%3D%3D&trk=flagship3_search_srp_jobs,"['', 'ComputerScience', 'DataAnalytics', 'DataMining', 'DataScience', 'DataVisualization', 'AnalyticalSkills', 'Analytics', 'Communication', 'DataCollection', 'ProblemSolving', '']"
Data Scientist,Paragon Alpha - Hedge Fund Talent Business,"New York, United States (Hybrid)",https://www.linkedin.com//jobs/view/3728318824/?eBP=NOT_ELIGIBLE_FOR_CHARGING&refId=kRHKbBsCHLIZ25uJJs4OKw%3D%3D&trackingId=qR7A5uUcW2nS5tt4pVkfEQ%3D%3D&trk=flagship3_search_srp_jobs,"['', 'C++', 'Cassandra', 'ComputerScience', 'DataScience', 'Java', 'Python(ProgrammingLanguage)', 'SQL', 'DataModeling', 'Hadoop', 'PredictiveModeling', '']"
"Data Scientist, Marketing",Asana,"San Francisco, CA (Hybrid)",https://www.linkedin.com//jobs/view/3762565783/?eBP=NOT_ELIGIBLE_FOR_CHARGING&refId=A43SyjO1%2Bgh1oc1GNOGAqg%3D%3D&trackingId=6fDyDt0PuWT8lLSK8jcr7w%3D%3D&trk=flagship3_search_srp_jobs,"['', 'DataScience', 'Scala', 'Airflow', 'CausalInference', 'DataModeling', 'DataStorytelling', 'Decision-Making', 'ExperimentalDesign', 'Observational', 'RelationalDataModeling', '']"
Entry Level Data Scientist (Remote),SynergisticIT,"Orlando, FL (Remote)",https://www.linkedin.com//jobs/view/3767592690/?eBP=NOT_ELIGIBLE_FOR_CHARGING&refId=A43SyjO1%2Bgh1oc1GNOGAqg%3D%3D&trackingId=HS74MzGDeCYTM9DVyCxiTw%3D%3D&trk=flagship3_search_srp_jobs,"['', 'DataAnalytics', 'DataMining', 'DataScience', 'DataVisualization', 'Java', 'Programming', 'ProgrammingLanguages', 'SoftwareDevelopment', 'SoftwareDevelopmentLifeCycle(SDLC)', 'OralCommunication', '']"
Data Scientist - Healthcare Claims,Analytic Recruiting Inc.,United States (Remote),https://www.linkedin.com//jobs/view/3770464382/?eBP=NOT_ELIGIBLE_FOR_CHARGING&refId=A43SyjO1%2Bgh1oc1GNOGAqg%3D%3D&trackingId=olr3TXh3d%2Bmjgm8OS483bw%3D%3D&trk=flagship3_search_srp_jobs,"['', 'DataAnalytics', 'DataScience', 'Python(ProgrammingLanguage)', 'SQL', 'AnalyticalSkills', 'BusinessRequirements', 'Presentations', 'QuantitativeAnalytics', 'Visualization', 'WealthManagementServices', '']"
Entry Level Data Scientist (Remote),SynergisticIT,"Jersey City, NJ (Remote)",https://www.linkedin.com//jobs/view/3767597245/?eBP=NOT_ELIGIBLE_FOR_CHARGING&refId=A43SyjO1%2Bgh1oc1GNOGAqg%3D%3D&trackingId=KBpMwv%2FWsMlkQNrVaGCksA%3D%3D&trk=flagship3_search_srp_jobs,"['', 'DataAnalytics', 'DataMining', 'DataScience', 'DataVisualization', 'Java', 'Programming', 'ProgrammingLanguages', 'SoftwareDevelopment', 'SoftwareDevelopmentLifeCycle(SDLC)', 'OralCommunication', '']"
Remote Data Scientist/Analyst (Entry/Junior Level),SynergisticIT,"Charleston, SC (Remote)",https://www.linkedin.com//jobs/view/3767590886/?eBP=NOT_ELIGIBLE_FOR_CHARGING&refId=A43SyjO1%2Bgh1oc1GNOGAqg%3D%3D&trackingId=Geost22EXz9fWASwVUtUWA%3D%3D&trk=flagship3_search_srp_jobs,"['', 'ComputerScience', 'CoreJava', 'DataAnalytics', 'DataScience', 'DataVisualization', 'Java', 'Programming', 'Analytics', 'Cracking', 'Shortlisting', '']"
